chr,start,end,arm,gc,map,filtered.bases
chr1,3500001,7000000,1p,0.474530571428571,0.982337389878539,814
chr1,7000001,10500000,1p,0.470962285714286,0.981392367244012,0
chr1,10500001,14000000,1p,0.455953142857143,0.858088168176841,0
chr1,14000001,17500000,1p,0.467437142857143,0.945116868315365,27
chr1,17500001,21000000,1p,0.488410285714286,0.990673655595611,346
chr1,21000001,24500000,1p,0.474728857142857,0.974940368753022,68
chr1,24500001,28000000,1p,0.481415714285714,0.967504837451467,113
chr1,28000001,31500000,1p,0.447543142857143,0.978644575059009,299
chr1,31500001,35000000,1p,0.464506,0.977997315899605,80
chr1,35000001,38500000,1p,0.460421142857143,0.979770798594052,63
chr1,38500001,42000000,1p,0.453359428571429,0.97454261142193,48
chr1,42000001,45500000,1p,0.456217714285714,0.981055293442353,754
chr1,45500001,49000000,1p,0.441604857142857,0.947706388494202,98
chr1,49000001,52500000,1p,0.399855142857143,0.968766038251404,0
chr1,52500001,56000000,1p,0.455099142857143,0.979343363814246,0
chr1,56000001,59500000,1p,0.408128,0.976729072307994,63
chr1,59500001,63000000,1p,0.400720571428571,0.969959802093999,0
chr1,63000001,66500000,1p,0.398004857142857,0.971663413729859,24
chr1,66500001,70000000,1p,0.387788285714286,0.967359192029813,711
chr1,70000001,73500000,1p,0.360641428571429,0.971291544478548,0
chr1,73500001,77000000,1p,0.368389428571429,0.96596478668636,134
chr1,77000001,80500000,1p,0.37365,0.968722682040848,0
chr1,80500001,84000000,1p,0.362200857142857,0.937125981232851,215
chr1,84000001,87500000,1p,0.385087428571429,0.966261868653746,0
chr1,87500001,91000000,1p,0.388097428571429,0.972222582743768,0
chr1,91000001,94500000,1p,0.401546857142857,0.962854279132425,437
chr1,94500001,98000000,1p,0.385465428571429,0.970204135099263,0
chr1,98000001,101500000,1p,0.369987714285714,0.973667353940594,153
chr1,101500001,105000000,1p,0.350579714285714,0.920684380808674,14098
chr1,105000001,108500000,1p,0.357019142857143,0.972103814135886,658
chr1,108500001,112000000,1p,0.430888285714286,0.941510174265836,337
chr1,112000001,115500000,1p,0.417926571428571,0.967477225724551,0
chr1,115500001,119000000,1p,0.411847142857143,0.967548588784226,0
chr1,126000001,129500000,1q,0,0,0
chr1,129500001,133000000,1q,0,0,0
chr1,133000001,136500000,1q,0,0,0
chr1,136500001,140000000,1q,0,0,0
chr1,140000001,143500000,1q,0.0826574285714286,0.395359834827421,12436
chr1,143500001,147000000,1q,0.339586857142857,0.589360152208188,262
chr1,147000001,150500000,1q,0.368657142857143,0.630044210576438,3353
chr1,150500001,154000000,1q,0.441926285714286,0.963030349014187,0
chr1,154000001,157500000,1q,0.475203714285714,0.970368510848443,75
chr1,157500001,161000000,1q,0.412819142857143,0.957312230418822,0
chr1,161000001,164500000,1q,0.405964285714286,0.94524505702896,0
chr1,164500001,168000000,1q,0.413797428571429,0.974491567898359,63
chr1,168000001,171500000,1q,0.389391428571429,0.967705613423842,372
chr1,171500001,175000000,1q,0.388296857142857,0.954454552460291,161
chr1,175000001,178500000,1q,0.406503714285714,0.970344020933305,0
chr1,178500001,182000000,1q,0.416298,0.971402015159136,0
chr1,182000001,185500000,1q,0.406215428571429,0.976286615936256,50
chr1,185500001,189000000,1q,0.357638857142857,0.967635524868206,0
chr1,189000001,192500000,1q,0.341302,0.97623243203755,0
chr1,192500001,196000000,1q,0.353861428571429,0.976229819279228,0
chr1,196000001,199500000,1q,0.357310857142857,0.964069770771115,0
chr1,199500001,203000000,1q,0.445168285714286,0.969158481959876,2672
chr1,203000001,206500000,1q,0.427314,0.959384709001414,0
chr1,206500001,210000000,1q,0.424942,0.961858601699913,73
chr1,210000001,213500000,1q,0.416957428571429,0.967675665964165,420
chr1,213500001,217000000,1q,0.386270571428571,0.980813942245024,0
chr1,217000001,220500000,1q,0.381949142857143,0.974594356250143,36
chr1,220500001,224000000,1q,0.405033142857143,0.958769592300309,213
chr1,224000001,227500000,1q,0.428280857142857,0.945841296260277,4861
chr1,227500001,231000000,1q,0.459057428571429,0.965815130315028,81
chr1,231000001,234500000,1q,0.416042285714286,0.979860128182538,216
chr1,234500001,238000000,1q,0.414075428571429,0.975848004543008,456
chr1,238000001,241500000,1q,0.385041142857143,0.983623625704956,5786
chr1,241500001,245000000,1q,0.405818285714286,0.924080525969421,131
chr1,245000001,248500000,1q,0.416477714285714,0.955844660818326,880
chr2,3500001,7000000,2p,0.386590857142857,0.976267322562546,47
chr2,7000001,10500000,2p,0.439792,0.983800038947513,0
chr2,10500001,14000000,2p,0.417244857142857,0.97464870717514,0
chr2,14000001,17500000,2p,0.397113142857143,0.974752430541678,51
chr2,17500001,21000000,2p,0.411471428571429,0.971119460407034,0
chr2,21000001,24500000,2p,0.403096857142857,0.973672290564499,123
chr2,24500001,28000000,2p,0.452667142857143,0.982876076591553,271
chr2,28000001,31500000,2p,0.433240857142857,0.983270170575695,0
chr2,31500001,35000000,2p,0.395065142857143,0.969786353386495,488
chr2,35000001,38500000,2p,0.385207428571429,0.967233405249722,105
chr2,38500001,42000000,2p,0.386359714285714,0.976255148586341,0
chr2,42000001,45500000,2p,0.428002,0.978314937515942,0
chr2,45500001,49000000,2p,0.429067428571429,0.983060470207415,0
chr2,49000001,52500000,2p,0.363248571428571,0.976782613892933,707
chr2,52500001,56000000,2p,0.389664571428571,0.979124046449186,83
chr2,56000001,59500000,2p,0.368507428571429,0.959749076413252,0
chr2,59500001,63000000,2p,0.410832571428571,0.97336120996429,296
chr2,63000001,66500000,2p,0.405986857142857,0.971191175117341,772
chr2,66500001,70000000,2p,0.397106857142857,0.972640685937271,49
chr2,70000001,73500000,2p,0.43809,0.969336372352438,182
chr2,73500001,77000000,2p,0.409423428571429,0.960543690854048,0
chr2,77000001,80500000,2p,0.364883142857143,0.963476615305424,271
chr2,80500001,84000000,2p,0.359169428571429,0.979806326483626,348
chr2,84000001,87500000,2p,0.424937714285714,0.904841658906561,0
chr2,87500001,91000000,2p,0.329409714285714,0.678847248282642,73567
chr2,98000001,101500000,2q,0.423685142857143,0.93859150134263,474
chr2,101500001,105000000,2q,0.397615428571429,0.981524598080733,0
chr2,105000001,108500000,2q,0.413254285714286,0.944977062934786,144
chr2,108500001,112000000,2q,0.412821714285714,0.815946896471933,521
chr2,112000001,115500000,2q,0.421648571428571,0.838954076158064,2257
chr2,115500001,119000000,2q,0.374676571428571,0.958223227958791,4939
chr2,119000001,122500000,2q,0.449466571428571,0.98134919665182,360
chr2,122500001,126000000,2q,0.382668571428571,0.971157426705952,200
chr2,126000001,129500000,2q,0.428961142857143,0.979723446797766,855
chr2,129500001,133000000,2q,0.431488,0.78692614464091,27081
chr2,133000001,136500000,2q,0.407878571428571,0.963514202472641,16034
chr2,136500001,140000000,2q,0.386559714285714,0.974018897450956,0
chr2,140000001,143500000,2q,0.353250857142857,0.981163416538768,0
chr2,143500001,147000000,2q,0.365583142857143,0.980754103254323,236
chr2,147000001,150500000,2q,0.368744285714286,0.968640829020775,132
chr2,150500001,154000000,2q,0.388715428571429,0.971261300606263,48
chr2,154000001,157500000,2q,0.358845428571429,0.967741456218177,1383
chr2,157500001,161000000,2q,0.388132285714286,0.962160762697808,406
chr2,161000001,164500000,2q,0.369326285714286,0.97237001559036,238
chr2,164500001,168000000,2q,0.361894857142857,0.969366946901562,26
chr2,168000001,171500000,2q,0.389992,0.96969612677318,175
chr2,171500001,175000000,2q,0.408521142857143,0.976812707521796,0
chr2,175000001,178500000,2q,0.396660285714286,0.973210503311784,95
chr2,178500001,182000000,2q,0.374940285714286,0.966445300923532,0
chr2,182000001,185500000,2q,0.364303428571429,0.966754744339138,37
chr2,185500001,189000000,2q,0.354515428571429,0.968811636560185,0
chr2,189000001,192500000,2q,0.375448,0.978606011623591,450
chr2,192500001,196000000,2q,0.348059714285714,0.962199077338705,124
chr2,196000001,199500000,2q,0.384682857142857,0.963195784678762,0
chr2,199500001,203000000,2q,0.398087142857143,0.974460328717318,115
chr2,203000001,206500000,2q,0.396597428571429,0.978475377370368,3847
chr2,206500001,210000000,2q,0.403518571428571,0.964794589344386,99
chr2,210000001,213500000,2q,0.359315714285714,0.973303045069933,220
chr2,213500001,217000000,2q,0.375919714285714,0.972418893457059,0
chr2,217000001,220500000,2q,0.462518,0.984858765651858,0
chr2,220500001,224000000,2q,0.398181714285714,0.981102940066702,151
chr2,224000001,227500000,2q,0.389294857142857,0.980354056478374,83
chr2,227500001,231000000,2q,0.397223142857143,0.972328648839882,318
chr2,231000001,234500000,2q,0.448894,0.970251987242841,117
chr2,234500001,238000000,2q,0.450397142857143,0.980847915549085,484
chr2,238000001,241500000,2q,0.476774,0.98283032671989,87
chr3,3500001,7000000,3p,0.395890285714286,0.957939588810484,58
chr3,7000001,10500000,3p,0.428184571428571,0.976935360325774,105
chr3,10500001,14000000,3p,0.468211428571429,0.980803267994999,0
chr3,14000001,17500000,3p,0.427421142857143,0.970376630203148,66
chr3,17500001,21000000,3p,0.376257142857143,0.961364952375014,187
chr3,21000001,24500000,3p,0.379781428571429,0.960271205203681,245
chr3,24500001,28000000,3p,0.385984571428571,0.96828121797486,146
chr3,28000001,31500000,3p,0.376177714285714,0.976667888034667,0
chr3,31500001,35000000,3p,0.406091714285714,0.972089842996941,0
chr3,35000001,38500000,3p,0.401571142857143,0.967311011802632,0
chr3,38500001,42000000,3p,0.414624857142857,0.957565361013489,32
chr3,42000001,45500000,3p,0.434322,0.974732587655268,85
chr3,45500001,49000000,3p,0.458454857142857,0.976180173681078,0
chr3,49000001,52500000,3p,0.483197714285714,0.969345677721989,750
chr3,52500001,56000000,3p,0.434730857142857,0.973637189127856,0
chr3,56000001,59500000,3p,0.416387142857143,0.96565120165445,60
chr3,59500001,63000000,3p,0.397475714285714,0.981196058292418,0
chr3,63000001,66500000,3p,0.391045428571429,0.974290363925249,0
chr3,66500001,70000000,3p,0.394256857142857,0.974508131195476,131
chr3,70000001,73500000,3p,0.412649142857143,0.979852827583595,0
chr3,73500001,77000000,3p,0.381367714285714,0.940531962737128,3007
chr3,77000001,80500000,3p,0.356193714285714,0.976671983333083,40
chr3,80500001,84000000,3p,0.350496,0.972433464960781,20969
chr3,84000001,87500000,3p,0.348740285714286,0.974699738678002,104
chr3,94500001,98000000,3q,0.352950285714286,0.966160690050822,2219
chr3,98000001,101500000,3q,0.384396,0.958539392656625,326
chr3,101500001,105000000,3q,0.357311142857143,0.97666269926824,0
chr3,105000001,108500000,3q,0.374444857142857,0.970565533942728,275
chr3,108500001,112000000,3q,0.376779428571429,0.96237665916154,0
chr3,112000001,115500000,3q,0.385711142857143,0.973793936519089,0
chr3,115500001,119000000,3q,0.374775428571429,0.969180641734904,86
chr3,119000001,122500000,3q,0.396914285714286,0.95774580906285,81
chr3,122500001,126000000,3q,0.439339428571429,0.958140227731268,14457
chr3,126000001,129500000,3q,0.480056571428572,0.977899499609073,0
chr3,129500001,133000000,3q,0.395809714285714,0.936180167884909,155
chr3,133000001,136500000,3q,0.423336857142857,0.962466309012964,0
chr3,136500001,140000000,3q,0.416604,0.959164707562546,183
chr3,140000001,143500000,3q,0.406580857142857,0.973246709006006,640
chr3,143500001,147000000,3q,0.357556,0.971937744719041,0
chr3,147000001,150500000,3q,0.380249714285714,0.978215317810814,120
chr3,150500001,154000000,3q,0.378838857142857,0.968590443351817,0
chr3,154000001,157500000,3q,0.388032285714286,0.967713347533499,0
chr3,157500001,161000000,3q,0.387642,0.958049803891288,150
chr3,161000001,164500000,3q,0.352519428571429,0.968958344209817,30
chr3,164500001,168000000,3q,0.354484285714286,0.968759792258363,0
chr3,168000001,171500000,3q,0.387750571428571,0.97094442487392,0
chr3,171500001,175000000,3q,0.370446571428571,0.981299104245365,251
chr3,175000001,178500000,3q,0.375364285714286,0.971992711414666,0
chr3,178500001,182000000,3q,0.384948,0.969939087585003,332
chr3,182000001,185500000,3q,0.429470285714286,0.978485904237927,0
chr3,185500001,189000000,3q,0.416006571428571,0.973352200880997,349
chr3,189000001,192500000,3q,0.372227714285714,0.978234266652256,0
chr3,192500001,196000000,3q,0.445731428571429,0.951519571252681,48
chr4,3500001,7000000,4p,0.47779,0.940716376984735,0
chr4,7000001,10500000,4p,0.483440857142857,0.898192782528746,984
chr4,10500001,14000000,4p,0.389349142857143,0.961508860720886,16426
chr4,14000001,17500000,4p,0.400466857142857,0.96795166160611,355
chr4,17500001,21000000,4p,0.375858285714286,0.972528504074791,0
chr4,21000001,24500000,4p,0.383039714285714,0.973244087256481,184
chr4,24500001,28000000,4p,0.405955142857143,0.977401546126872,152
chr4,28000001,31500000,4p,0.351647714285714,0.987411547052453,0
chr4,31500001,35000000,4p,0.34383,0.98714357400835,0
chr4,35000001,38500000,4p,0.379199428571429,0.977068849197834,0
chr4,38500001,42000000,4p,0.416290571428571,0.980202114352892,22
chr4,42000001,45500000,4p,0.367789142857143,0.972280299120679,93
chr4,45500001,49000000,4p,0.371762571428571,0.966676139604608,0
chr4,56000001,59500000,4q,0.392596857142857,0.960554693388745,54
